,SubjectName,ConstructName,QuestionText,AnswerText,MisconceptionId,MisconceptionName
26,Quadratic Equations,Solve quadratic equations using factorisation in the form (x + a)(x + b) ,"One of these equations has exactly one solution.
Which is it?",\( t^{2}-9=0 \),547.0,Factorises difference of two squares with the same sign in both brackets
27,Solving Linear Inequalities,Solve one-step linear inequalities in one variable where the variable appears on one side of the equation,"In which of the following inequalities could \( \boldsymbol{d}=\mathbf{5} \) ? \begin{tabular}{ll}
Inequality \( 1 \) & Inequality 2 \\
\( 2 d>11 \) & \( 11>d+2 \)
\end{tabular}",Only Inequality \( 1 \),1880.0,Mixes up greater than and less than symbols
28,Quadratic Equations,Solve quadratic equations using the quadratic formula where the coefficient of x² is not 1 ,"Mo wants to solve this equation using the quadratic formula.
\(
5 h^{2}-3 h-2=0
\)

What should replace the star? \(  \bigstar  \pm \sqrt{ ? - ?  } \)",\( 2 \),1044.0,Misremembers the quadratic formula
29,"Averages (mean, median, mode) from a List of Data",Calculate the median as an average from an odd numbered list of data,"What is the median of the following numbers?
\( 2,2,4,7,10 \)",\( 5 \),732.0,Finds the mean instead of the median
30,"Averages (mean, median, mode) from a List of Data",Calculate the median as an average from an odd numbered list of data,"What is the median of the following numbers?
\( 2,2,4,7,10 \)",\( 2 \),2198.0,Finds the mode instead of the median
31,"Averages (mean, median, mode) from a List of Data",Calculate the median as an average from an odd numbered list of data,"What is the median of the following numbers?
\( 2,2,4,7,10 \)",\( 5.5 \),461.0,"When finding the median for an odd numbered data set, find the midpoint of two values rather than giving the middle value"
32,"Averages (mean, median, mode) from a List of Data",Calculate the median as an average from an even numbered list of data,"What is the median of the following numbers?
\[
2, \quad 0.2, \quad 0.02, \quad 0.002
\]",\( 0.22 \),2426.0,When finding the median from a even dataset does not understand we must find the midpoint of the two values in the middle
33,"Averages (mean, median, mode) from a List of Data",Calculate the median as an average from an even numbered list of data,"What is the median of the following numbers?
\[
2, \quad 0.2, \quad 0.02, \quad 0.002
\]",\( 0.44 \),2427.0,Does not divide by 2 when finding midpoint
34,Properties of Quadrilaterals,Identify the order of rotational symmetry of a shape,Which shape has rotational symmetry order \( 2 \) ?,![Square](),2355.0,Does not know how to find order of rotational symmetry
35,Properties of Quadrilaterals,Identify the order of rotational symmetry of a shape,Which shape has rotational symmetry order \( 2 \) ?,![Trapezium](),2355.0,Does not know how to find order of rotational symmetry
36,Properties of Quadrilaterals,Identify the order of rotational symmetry of a shape,Which shape has rotational symmetry order \( 2 \) ?,![Hexagon](),1007.0,Does not connect rotational symmetry to number of sides/vertices
37,Other Sequences,Recognise cube numbers,"\[
1,8,27,64, \ldots
\]

What is the name given to this sequence of numbers?",The square numbers,478.0,Does not know what a square number is
38,Other Sequences,Recognise cube numbers,"\[
1,8,27,64, \ldots
\]

What is the name given to this sequence of numbers?",The odd numbers,421.0,Mixes up odd and even numbers
39,Other Sequences,Recognise cube numbers,"\[
1,8,27,64, \ldots
\]

What is the name given to this sequence of numbers?",The triangular numbers,2489.0,Thinks cube numbers are triangular numbers
40,Simplifying Algebraic Fractions,Simplify an algebraic fraction by factorising the numerator,"Simplify the following, if possible: \( \frac{1-t}{t-1} \)",\( t \),891.0,Incorrectly cancels what they believe is a factor in algebraic fractions
41,Simplifying Algebraic Fractions,Simplify an algebraic fraction by factorising the numerator,"Simplify the following, if possible: \( \frac{1-t}{t-1} \)",\( 1 \),891.0,Incorrectly cancels what they believe is a factor in algebraic fractions
42,Simplifying Algebraic Fractions,Simplify an algebraic fraction by factorising the numerator,"Simplify the following, if possible: \( \frac{1-t}{t-1} \)",Does not simplify,353.0,Does not recognise when one part of a fraction is the negative of the other
43,Length Units,Convert from kilometers to miles,\( 1 \mathrm{~km} \approx 0.6 \) miles \( 4 \mathrm{~km} \approx \square \) miles,\( 4.6 \),306.0,Added rather than multiplied by a scale factor
44,Length Units,Convert from kilometers to miles,\( 1 \mathrm{~km} \approx 0.6 \) miles \( 4 \mathrm{~km} \approx \square \) miles,\( 0.24 \),189.0,"When multiplying decimals, ignores place value and just multiplies the digits"
45,Length Units,Convert from kilometers to miles,\( 1 \mathrm{~km} \approx 0.6 \) miles \( 4 \mathrm{~km} \approx \square \) miles,\( 3.6 \),264.0,Subtracted rather than divided by a scale factor
46,Writing Ratios,Represent written scenarios as ratios,"For every \( 2 \) marbles Karen has, Marty has \( 3 \).
Write the number of marbles Karen and Marty have as a ratio, with Karen's part first.",\( 3\; : 2 \),105.0,Mixes up sides of a ratio
47,Writing Ratios,Represent written scenarios as ratios,"For every \( 2 \) marbles Karen has, Marty has \( 3 \).
Write the number of marbles Karen and Marty have as a ratio, with Karen's part first.",\( 2\; : 3\; : 5 \),942.0,Thinks you need to include the total as well as the individual parts when asked to write a ratio
48,Writing Ratios,Represent written scenarios as ratios,"For every \( 2 \) marbles Karen has, Marty has \( 3 \).
Write the number of marbles Karen and Marty have as a ratio, with Karen's part first.",\( 2\; : 5 \),2208.0,"When writing ratio, writes total as one side"
49,Volume and Capacity Units,Convert between l and  cm³,"Complete this statement:
\( 5 \) litres \( = \) ________\( \mathrm{cm}^{3} \)",\( 5 \),273.0,Thinks 1l = 1 cubic centimetre
50,Volume and Capacity Units,Convert between l and  cm³,"Complete this statement:
\( 5 \) litres \( = \) ________\( \mathrm{cm}^{3} \)",\( 500 \),474.0,Thinks 1l = 100 cubic centimetres
51,Volume and Capacity Units,Convert between l and  cm³,"Complete this statement:
\( 5 \) litres \( = \) ________\( \mathrm{cm}^{3} \)",\( 50 \),1863.0,Thinks 1l = 10 cubic centimetres
52,Other Sequences,Identify triangular numbers,"\( 1,3,6,10,15,21,28 \ldots \) What is the name commonly given to this sequence of numbers?",The square numbers,1882.0,Believes square numbers are triangle numbers
53,Other Sequences,Identify triangular numbers,"\( 1,3,6,10,15,21,28 \ldots \) What is the name commonly given to this sequence of numbers?",The cube numbers,2489.0,Thinks cube numbers are triangular numbers
54,Other Sequences,Identify triangular numbers,"\( 1,3,6,10,15,21,28 \ldots \) What is the name commonly given to this sequence of numbers?",The Fibonacci numbers,2296.0,Believes Fibonacci numbers are triangle numbers
55,Writing Expressions,Describe the meaning algebraic terms with powers,"Which of the following means the same as
\(a^{2} b\)",\( 2 \times a \times b \),2316.0,Mixes up squaring and multiplying by 2 or doubling
56,Writing Expressions,Describe the meaning algebraic terms with powers,"Which of the following means the same as
\(a^{2} b\)",\( a \times b \times a \times b \),452.0,"When a variable in an expression has a power, thinks the power applies to the whole expression"
57,Properties of Triangles,"Identify and count the faces, vertices and edges of a 3D shape",![An orange cube]() How many faces does this cube have?,\( 12 \),207.0,Confuses the terms faces and edges
58,Properties of Triangles,"Identify and count the faces, vertices and edges of a 3D shape",![An orange cube]() How many faces does this cube have?,\( 8 \),450.0,Confuses the terms faces and vertices
59,Angles in Triangles,Find missing angles in an isosceles triangle,What is value of the shaded angle in this diagram? ![[not to scale]](),\( 80^{\circ} \),154.0,Assumes an angle has been split into equal parts
60,Angles in Triangles,Find missing angles in an isosceles triangle,What is value of the shaded angle in this diagram? ![[not to scale]](),\( 140^{\circ} \),154.0,Assumes an angle has been split into equal parts
61,Venn Diagrams,Interpret what the numbers in each region of a double Venn diagram mean,"All the students in a class were asked if they have a brother, sister, both or none.

The Venn Diagram shows the results. ![A Venn diagram with two sets, one labelled Brother and one labelled Sister. The number 11 is written in Brother without the intersection , number 7 is in Sister without the intersection, the number 4 is in the intersection of Brother and Sister. The number 6 is outside the circles.]() How many students are in the class?",\( 4 \),1842.0,Confuses the number of regions in a Venn diagram as the total number of entries in the diagram
62,Venn Diagrams,Interpret what the numbers in each region of a double Venn diagram mean,"All the students in a class were asked if they have a brother, sister, both or none.

The Venn Diagram shows the results. ![A Venn diagram with two sets, one labelled Brother and one labelled Sister. The number 11 is written in Brother without the intersection , number 7 is in Sister without the intersection, the number 4 is in the intersection of Brother and Sister. The number 6 is outside the circles.]() How many students are in the class?",\( 22 \),1532.0,Forgets to include values outside of the Venn diagram when finding the total
63,Adding and Subtracting Fractions,Subtract fractions involving mixed number fractions with different denominators,\( 5 \frac{3}{5}-2 \frac{1}{2}= \) Leave your answer as a mixed number,\( \frac{31}{10} \),687.0,Confused mixed numbers with improper fractions
64,Adding and Subtracting Fractions,Subtract fractions involving mixed number fractions with different denominators,\( 5 \frac{3}{5}-2 \frac{1}{2}= \) Leave your answer as a mixed number,\( 3 \frac{2}{3} \),172.0,"When subtracting fractions, subtracts the numerators and denominators"
65,Adding and Subtracting Negative Numbers,Carry out subtraction problems involving one negative integer,\( (-3)-5= \),\( 2 \),1435.0,When subtracting from a negative thinks the answer must be positive
66,Adding and Subtracting Negative Numbers,Carry out subtraction problems involving one negative integer,\( (-3)-5= \),\( 8 \),1435.0,When subtracting from a negative thinks the answer must be positive
67,Expanding Single Brackets,Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression,"Expand:
\[
3(1-2 p)
\]",\( 4-6 p \),2143.0,Adds instead of multiplying when expanding bracket
68,Expanding Single Brackets,Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression,"Expand:
\[
3(1-2 p)
\]",\( 1-6 p \),1911.0,Only multiplies second term in the expansion of a bracket
69,Expanding Single Brackets,Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression,"Expand:
\[
3(1-2 p)
\]",\( 6 p-3 \),1510.0,Believes subtraction is commutative 
70,Place Value,Find another power of 10 less than a given number,"What number is \( 10,000 \) less than \( 509,570 \) ?",\( 50.957 \),228.0,Divides rather than subtracts when given the command 'less than'
71,Place Value,Find another power of 10 less than a given number,"What number is \( 10,000 \) less than \( 509,570 \) ?","\( 409,570 \)",2264.0,"When subtracting a power of 10, subtracts from the wrong column"
72,Plotting Quadratics from Tables of Values,"Given a negative x value, find the corresponding y value for curves in the form y = x² + bx + c","This is part of a table of values for
\(y=x^{2}-2 x+1\)

What should replace the star? \begin{tabular}{|c|c|}
\hline\( x \) & \( -3 \) \\
\hline\( y \) & \(\bigstar\) \\
\hline
\end{tabular}",\( -2 \),82.0,Believes the square of a negative will also be negative
73,Expanding Double Brackets,Multiply an integer and an algebraic term ,"James is expanding these two brackets.

What should he get when he multiplies the two terms indicated by the arrows? ![The brackets shown are (x-8)(x-2). The arrows are pointing at the x in the first bracket and the -2 in the second bracket.]()",\( x-2 \),2143.0,Adds instead of multiplying when expanding bracket
74,Expanding Double Brackets,Multiply an integer and an algebraic term ,"James is expanding these two brackets.

What should he get when he multiplies the two terms indicated by the arrows? ![The brackets shown are (x-8)(x-2). The arrows are pointing at the x in the first bracket and the -2 in the second bracket.]()",\( +2 x \),583.0,Ignores negative sign when expanding bracket
75,Properties of Triangles,Identify a right-angled triangle when presented non-conventionally,"\( A B C D \) is a rectangle.
What type of triangle is triangle \( \mathrm{BCD} \) ? ![Rectangle ABCD with the diagonal shown using a red dotted line]()",Scalene,646.0,Confuses scalene and right angle triangles
76,Properties of Triangles,Identify a right-angled triangle when presented non-conventionally,"\( A B C D \) is a rectangle.
What type of triangle is triangle \( \mathrm{BCD} \) ? ![Rectangle ABCD with the diagonal shown using a red dotted line]()",Isosceles,1970.0,Confuses isosceles and right angle triangles
77,Properties of Triangles,Identify a right-angled triangle when presented non-conventionally,"\( A B C D \) is a rectangle.
What type of triangle is triangle \( \mathrm{BCD} \) ? ![Rectangle ABCD with the diagonal shown using a red dotted line]()",Equilateral,1970.0,Confuses isosceles and right angle triangles
78,"Basic Angle Facts (straight line, opposite, around a point, etc)",Use angles on a straight line to form and solve algebraic equations,"What is the size of angle \( a \) ? ![Angles on a straight line split into 3 unequal parts labelled with a, 4a and a right angle marker]()",\( 36^{\degree} \),219.0,Does not know that a right angle is 90 degrees
79,Function Machines,Calculate the square of a number,![An image of a function machine. The input is 20 and the function is squared.]() What is the output of this function machine?,\( 40 \),2316.0,Mixes up squaring and multiplying by 2 or doubling
80,Function Machines,Calculate the square of a number,![An image of a function machine. The input is 20 and the function is squared.]() What is the output of this function machine?,\( 22 \),2445.0,Mixes up squaring and addition
81,Function Machines,Calculate the square of a number,![An image of a function machine. The input is 20 and the function is squared.]() What is the output of this function machine?,\( 10 \),1664.0,Mixes up squaring and halving
82,Inequalities on Number Lines,Use inequality notation to order a negative and a positive integer,"One of these pairs of numbers does not fit 
the inequality \( d \leq h \)

Can you find which pair?",\( \begin{array}{l}d=4 \\ h=4\end{array} \),1828.0,Does not understand inequality notation
83,Inequalities on Number Lines,Use inequality notation to order a negative and a positive integer,"One of these pairs of numbers does not fit 
the inequality \( d \leq h \)

Can you find which pair?",\( \begin{array}{c}d=-4\\h=4\end{array} \),1828.0,Does not understand inequality notation
84,Inequalities on Number Lines,Use inequality notation to order a negative and a positive integer,"One of these pairs of numbers does not fit 
the inequality \( d \leq h \)

Can you find which pair?",\( \begin{array}{c}d=-2 \\ h=2\end{array} \),1828.0,Does not understand inequality notation
85,Indirect (Inverse) Proportion,Given a situation sketch an appropriate non linear real life graph,Which of the following graphs is most likely to represent the change in journey time against average speed?,![A straight line graph starting at the origin and travelling right with a positive gradient.](),99.0,Thinks the faster you travel the longer the time it will take
86,Indirect (Inverse) Proportion,Given a situation sketch an appropriate non linear real life graph,Which of the following graphs is most likely to represent the change in journey time against average speed?,"![A curved graph that starts at the origin. As you move right it travels steeply up, then levels off]()",99.0,Thinks the faster you travel the longer the time it will take
87,Indirect (Inverse) Proportion,Given a situation sketch an appropriate non linear real life graph,Which of the following graphs is most likely to represent the change in journey time against average speed?,![A straight line graph starting partway up the y-axis and travelling right with a negative gradient until it hits the x-axis.](),1860.0,Believes a reciprocal graph can be a straight line
88,Writing Ratios,Express pictorial representations of objects as a ratio,\( \square \square \square \triangle \square \square \square \triangle \square \square \square \triangle \) For every \( 3 \) triangles there are \(___\) squares,\( 3 \),1659.0,Finds one part of a ratio but doesn't multiply that by the number of parts needed
89,Horizontal and Vertical Lines,Recognise the equations of vertical lines from a diagram,"What is the equation of this line? ![A graph showing a vertical line going through a number on the x axis. The number is one box to the right of -10, where there are 5 boxes between 0 and -10.]()",\( x=-9 \),1415.0,Assumes every dash on a scale represents an increase of 1
90,Horizontal and Vertical Lines,Recognise the equations of vertical lines from a diagram,"What is the equation of this line? ![A graph showing a vertical line going through a number on the x axis. The number is one box to the right of -10, where there are 5 boxes between 0 and -10.]()",\( y=-8 \),2113.0,Confuses the equations of vertical and horizontal lines
91,Block Graphs and Bar Charts,Interpret a bar chart,"The bar chart shows the number of cups of tea and coffee sold in a café over \( 4 \) days.

How many cups of coffee were sold on Tuesday? ![A dual bar bar chart showing the number of cups of tea and coffee sold Monday to Thursday. The vertical scale showing the number of cups sold has 10 small boxes between 0 and 10.The bar for tea on Tuesday reaches 2 small boxes above 10. The bar for coffee on Tuesday reaches 5 small boxes above 40.]()",\( 50 \),2095.0,"When reading graph, chooses nearest marked value on axis instead of reading accurately"
92,Expanding Single Brackets,Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression,"Expand:
\(
-(2-3 p)
\)",\( 2-3 p \),583.0,Ignores negative sign when expanding bracket
93,Expanding Single Brackets,Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression,"Expand:
\(
-(2-3 p)
\)",\( -2-3 p \),1597.0,Believes multiplying two negatives gives a negative answer
94,Expanding Single Brackets,Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression,"Expand:
\(
-(2-3 p)
\)",\( 2+3 p \),1911.0,Only multiplies second term in the expansion of a bracket
95,Multiplying Fractions,Multiply proper fractions in the form: Fraction × Fraction,\( \frac{6}{7} \times \frac{2}{3}=? \),\( \frac{9}{7} \),1.0,Uses dividing fractions method for multiplying fractions
96,Multiplying Fractions,Multiply proper fractions in the form: Fraction × Fraction,\( \frac{6}{7} \times \frac{2}{3}=? \),\( \frac{8}{21} \),317.0,"When multiplying fractions, adds the numerators and multiplies the denominators"
97,Equation of a Circle,"Given a sketch of a circle with centre at the origin, write its equation in the form x² + y² = r²","What is the equation of this circle? ![A set of axes with a circle drawn. The circle goes through the points (4,0), (0, -4), (-4,0) and (0,4). ]()",\( x^{2}+y^{2}=\sqrt{4} \),2474.0,Confuses the square root of the radius with the radius squared in the equation of a circle
98,Equation of a Circle,"Given a sketch of a circle with centre at the origin, write its equation in the form x² + y² = r²","What is the equation of this circle? ![A set of axes with a circle drawn. The circle goes through the points (4,0), (0, -4), (-4,0) and (0,4). ]()",\( x^{2}+y^{2}=8 \),2316.0,Mixes up squaring and multiplying by 2 or doubling
99,Equation of a Circle,"Given a sketch of a circle with centre at the origin, write its equation in the form x² + y² = r²","What is the equation of this circle? ![A set of axes with a circle drawn. The circle goes through the points (4,0), (0, -4), (-4,0) and (0,4). ]()",\( x^{2}+y^{2}=4 \),1944.0,Confuses the radius with the radius squared in the equation of a circle
100,Equivalent Fractions,Identify equivalent fractions when presented as numbers,Complete the statement \( \frac{4}{6}=\frac{}{12} \),\( \frac{4}{6}=\frac{2}{12} \),6.0,Can identify the multiplier used to form an equivalent fraction but does not apply to the numerator
101,Equivalent Fractions,Identify equivalent fractions when presented as numbers,Complete the statement \( \frac{4}{6}=\frac{}{12} \),\( \frac{4}{6}=\frac{4}{12} \),120.0,Does not understand equivalent fractions
102,Equivalent Fractions,Identify equivalent fractions when presented as numbers,Complete the statement \( \frac{4}{6}=\frac{}{12} \),\( \frac{4}{6}=\frac{10}{12} \),1429.0,Believes equivalent fractions are formed with addition not multiplication
103,Adding and Subtracting Algebraic Fractions,Add algebraic fractions where one denominator is a multiple of the other,"Write this as a single fraction as simply as possible:
\(
\frac{3}{2 x}+\frac{4}{x}
\)",\( \frac{7}{3 x} \),217.0,"When adding fractions, adds the numerators and denominators"
104,Adding and Subtracting Algebraic Fractions,Add algebraic fractions where one denominator is a multiple of the other,"Write this as a single fraction as simply as possible:
\(
\frac{3}{2 x}+\frac{4}{x}
\)",\( \frac{7}{2 x} \),2234.0,Forgets to change the numerators when finding equivalent fractions
105,Solving Linear Inequalities,Solve linear inequalities in one variable that require three or more steps where the variable appears on one side of the equation ,"Solve
\[
36 \leq 4(5 n-1)
\]",\( n \leq 2 \),38.0,Believes the sides of an inequality can be switched without changing the direction of the sign
106,Solving Linear Inequalities,Solve linear inequalities in one variable that require three or more steps where the variable appears on one side of the equation ,"Solve
\[
36 \leq 4(5 n-1)
\]",\( \frac{37}{20} \leq n \),220.0,Only multiplies the first term in the expansion of a bracket
107,Factorising into a Double Bracket,Factorise a quadratic expression in the form x² + bx + c,When factorising \( x^{2}+5 x+6 \) we need two numbers that:,Add to give \( 6 \) and multiply to give \( 5 \),2142.0,"Does not know that to factorise a quadratic expression, to find two numbers that add to give the coefficient of the x term, and multiply to give the non variable term
"
108,Factorising into a Double Bracket,Factorise a quadratic expression in the form x² + bx + c,When factorising \( x^{2}+5 x+6 \) we need two numbers that:,Add to give \( 6 x \) and multiply to give \( 5 \),2142.0,"Does not know that to factorise a quadratic expression, to find two numbers that add to give the coefficient of the x term, and multiply to give the non variable term
"
109,Factorising into a Double Bracket,Factorise a quadratic expression in the form x² + bx + c,When factorising \( x^{2}+5 x+6 \) we need two numbers that:,Add to give \( 5 x \) and multiply to give \( 6 \),2068.0,"Does not know that to factorise a quadratic expression, to find two numbers that add to give the coefficient of the x term, and multiply to give the non variable term

"
110,Perpendicular Lines,Identify perpendicular lines written in any other form,"Which of the following lines is perpendicular to
\(y=5 \text { ? }\)",\( y=-\frac{1}{5} \),2214.0,"Thinks that in the equation y=a, a is the gradient"
111,Converting Mixed Number and Improper Fractions,Convert from improper fractions to mixed number fractions,Convert \( \frac{11}{5} \) to a mixed number.,\( 2 \frac{1}{11} \),1173.0,Uses the numerator of an improper fraction as the denominator of the equivalent mixed number
112,Converting Mixed Number and Improper Fractions,Convert from improper fractions to mixed number fractions,Convert \( \frac{11}{5} \) to a mixed number.,\( \frac{33}{15} \),2034.0,Finds an equivalent improper fraction when asked for a mixed number
113,Converting Mixed Number and Improper Fractions,Convert from improper fractions to mixed number fractions,Convert \( \frac{11}{5} \) to a mixed number.,\( 2 \) remainder \( 1 \),986.0,Does not understand that a remainder can be written as a fraction
114,Factorising into a Single Bracket,Factorise a single bracket containing a non-linear expression by taking out a single algebraic common factor (e.g. a),"Factorise this expression, if possible:
\(
p^{2}+4 p
\)",\( (p-2)(p+2) \),838.0,"When factorising a quadratic without a non variable term, tries to double bracket factorise"
115,Factorising into a Single Bracket,Factorise a single bracket containing a non-linear expression by taking out a single algebraic common factor (e.g. a),"Factorise this expression, if possible:
\(
p^{2}+4 p
\)",\( (p+2)(p+2) \),838.0,"When factorising a quadratic without a non variable term, tries to double bracket factorise"
116,Multiplying Fractions,Multiply proper fractions in the form: Fraction × Fraction,Calculate: \( \frac{1}{8} \times \frac{1}{3} \),\( \frac{2}{11} \),1980.0,"When multiplying fractions, adds the numerators and the denominators"
117,Multiplying Fractions,Multiply proper fractions in the form: Fraction × Fraction,Calculate: \( \frac{1}{8} \times \frac{1}{3} \),\( \frac{3}{8} \),565.0,Divides rather than multiplies 
118,Multiplying Fractions,Multiply proper fractions in the form: Fraction × Fraction,Calculate: \( \frac{1}{8} \times \frac{1}{3} \),\( \frac{1}{11} \),1280.0,"When multiplying fractions, multiplies the numerator and adds the denominator"
119,Place Value,Write 5 digit numbers and above as words,"How do you write this number in words?

\( 60302 \)",Six hundred and thirty-two,539.0,Does not understand the value of zeros as placeholders
120,Place Value,Write 5 digit numbers and above as words,"How do you write this number in words?

\( 60302 \)",Six thousand three hundred and two,22.0,Confuses the ten thousands and thousands place value columns
121,Place Value,Write 5 digit numbers and above as words,"How do you write this number in words?

\( 60302 \)",Sixty thousand and thirty-two,2546.0,Confuses the hundreds and tens place value columns
